"filename", "language", "C++", "Dart", "HTML", "Markdown", "YAML", "Swift", "XML", "JSON", "Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"g:\quiz_app_new\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"g:\quiz_app_new\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"g:\quiz_app_new\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 5, 12, 69
"g:\quiz_app_new\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 86
"g:\quiz_app_new\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"g:\quiz_app_new\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 1, 34
"g:\quiz_app_new\android\app\src\main\kotlin\com\example\quiz_app_new\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"g:\quiz_app_new\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"g:\quiz_app_new\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"g:\quiz_app_new\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"g:\quiz_app_new\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"g:\quiz_app_new\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"g:\quiz_app_new\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"g:\quiz_app_new\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\quiz_app_new\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"g:\quiz_app_new\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"g:\quiz_app_new\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"g:\quiz_app_new\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"g:\quiz_app_new\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"g:\quiz_app_new\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"g:\quiz_app_new\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"g:\quiz_app_new\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"g:\quiz_app_new\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"g:\quiz_app_new\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"g:\quiz_app_new\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"g:\quiz_app_new\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"g:\quiz_app_new\ios\Runner\GoogleService-Info.plist", "XML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 30
"g:\quiz_app_new\ios\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"g:\quiz_app_new\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\quiz_app_new\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"g:\quiz_app_new\l10n.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"g:\quiz_app_new\lib\bloc\auth\auth_bloc.dart", "Dart", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 189
"g:\quiz_app_new\lib\bloc\auth\auth_event.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"g:\quiz_app_new\lib\bloc\auth\auth_state.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 35
